Restaurant Name,Description,URL,Speed class
Cava,"""Mediterranean Chipotle"": customizable greens & grains bowls, pitas & salad.",https://maps.google.com/?cid=5978598615302083808,Fast
Chipotle,"Fast-food chain offering Mexican fare, including design-your-own burritos, tacos & bowls.",https://maps.google.com/?cid=1778390967182104041,Fast
Comoncy,Comoncy is a fast-casual lunch and brunch restaurant. Everyone at Mango hates it.,https://maps.app.goo.gl/vqQVawRNcQmt9emb9,
Emporium Thai,"Colorful restaurant serving specialties from Southern Thailand, including curry & noodle dishes.",https://maps.google.com/?cid=7504991571260366390,Medium
Fresh Corn Grill,"Modern counter-serve eatery with a diverse menu of health-oriented grill options, pizzas & tacos.",https://maps.google.com/?cid=4092716099434564958,Medium
ixlb,Soup dumplings,https://maps.google.com/?cid=3725200563269869078,Medium
Maharaja,"Classic Indian fare including vegetarian items, offered in a straightforward storefront space.",https://maps.google.com/?cid=4633965644035227560,
Naab Cafe,"A wide variety of Mediterranean entrees, salads & desserts are offered in this low-key dining space.",https://maps.google.com/?cid=3875512920662995914,
Northern Cafe Dumpling,,https://maps.google.com/?cid=14612184185492652745,
Nuka Cafe,Turkish ,https://maps.google.com/?cid=8650830546686019952,Fast
Poke Me,Poke. Very close to the office.,https://maps.app.goo.gl/KfiALrTdAzNU4qiv5?g_st=ic,Fast
Prince of Venice,"Pizzas and pasta, with a nice outdoor courtyard.",https://maps.google.com/?cid=10241430217026614408,Slow
Sweetfin,"Poke. Pretty good, but small portions.",https://maps.google.com/?cid=6103318291609205873,Fast
The French Way,"Strongly disliked by the team. ""French tacos"": giant wraps filled with greasy fried foods.",https://maps.app.goo.gl/ZE9bhbXNKrytzTKf7,Medium
Westwood Thai Cafe,"Traditional Thai dishes & Chinese specialties served in a cozy, modest space.",https://maps.google.com/?cid=2780121691610189127,
Flame Persian Cuisine,Traditional dining room offering Persian specialties like freshly baked flatbreads & kebabs.,https://maps.google.com/?cid=3725720370678952918,
Tocaya,California-style mexican,https://maps.google.com/?cid=2998250788791374138,Medium
Tulsi Indian,Indian eatery with robot servers.,https://maps.google.com/?cid=408586312225206931,
Jersey Mikes,New Jersey–based counter-serve sandwich chain serving jumbo subs filled with cold cuts & toppings.,https://maps.google.com/?cid=3136376375925462796,
Wolfsglen,Burgers and other American fair. Nightclub-like vibe with a vaulted ceiling.,https://maps.google.com/?cid=1937903711825628203,Slow
SanSai Japanese Grill,Casual counter-serve chain for health-minded Asian fare from made-to-order sushi rolls to salads.,https://maps.google.com/?cid=1145266758745516110,
Lulu,"Conceived with legendary chef and food activist Alice Waters and led by acclaimed chef, writer, and cookbook author David Tanis, Lulu is a shared celebration of good food that is good for the planet.",https://maps.google.com/?cid=3334160510347307293,Slow
Tender Greens,"Modern, cafeteria-style chain serving area-sourced, globally influenced plates, sandwiches & salads.",https://maps.google.com/?cid=6199247539989731293,Medium
Kazu Nori,Stylish restaurant with an industrial vibe specializing in Japanese seafood rolls. Mango's favorite.,https://maps.google.com/?cid=4646603093368949652,Slow
Egg Tuck,"Egg sandwiches ""tucked"" into half-sliced bread.",https://maps.google.com/?cid=3467136304593321162,Medium
PokeTomik,"Unappetizing poke. Their signature poke-ritto is wrapped in hot cheeto dust. Their branding includes the tagline ""raw explosion"", which seems a little too honest...",https://maps.app.goo.gl/ouspKwEVd6NCiwsS9,
